add ian north to my autumn lounge playlist	O B-artist I-artist O B-playlist_owner B-playlist I-playlist O	AddToPlaylist
rate the breaking point a three	O B-object_name I-object_name I-object_name O B-rating_value	RateBook
give the phantom ship a zero	O B-object_name I-object_name I-object_name O B-rating_value	RateBook
give jackass investing a three	O B-object_name I-object_name O B-rating_value	RateBook
i think this textbook should have four stars and a best rating of 6	O O B-object_select B-object_type O O B-rating_value B-rating_unit O O O O O B-best_rating	RateBook
add kasey chambers to my political punks playlist	O B-artist I-artist O B-playlist_owner B-playlist I-playlist O	AddToPlaylist
add my old kentucky home to fresh finds fire emoji	O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist I-playlist I-playlist I-playlist	AddToPlaylist
please add jency anthony to my playlist this is mozart	O O B-artist I-artist O B-playlist_owner O B-playlist I-playlist I-playlist	AddToPlaylist
book a restaurant in palestine for 8 people at 9 am	O O B-restaurant_type O B-country O B-party_size_number O O B-timeRange I-timeRange	BookRestaurant
where is shake your powder puff playing	O O B-movie_name I-movie_name I-movie_name I-movie_name O	SearchScreeningEvent
play any track by flame	O O B-music_item O B-artist	PlayMusic
will it be colder in az than tx today	O O O B-condition_temperature O B-state O B-state B-timeRange	GetWeather
rate this book 5 stars out of 6	O B-object_select B-object_type B-rating_value B-rating_unit O O B-best_rating	RateBook
i need to know the weather seven weeks from now in morgan–monroe state forest	O O O O O O B-timeRange I-timeRange I-timeRange I-timeRange O B-geographic_poi I-geographic_poi I-geographic_poi	GetWeather
add this album to my throwback thursday playlist	O O B-music_item O B-playlist_owner B-playlist I-playlist O	AddToPlaylist
what is the wanda group movie schedules	O O O B-location_name I-location_name B-object_type I-object_type	SearchScreeningEvent
add live around the world to crossroad blues	O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist I-playlist	AddToPlaylist
add this song to my love hurts playlist	O O B-music_item O B-playlist_owner B-playlist I-playlist O	AddToPlaylist
book an osteria in north salt lake for three	O O B-restaurant_type O B-city I-city I-city O B-party_size_number	BookRestaurant
i d like to go to the venetian theatre in gabon  party of seven	O O O O O O O B-restaurant_name I-restaurant_name O B-country O O B-party_size_number	BookRestaurant
i need to book the beardslee castle in albania for me  cassie and lesley	O O O O O B-restaurant_name I-restaurant_name O B-country O B-party_size_description I-party_size_description I-party_size_description I-party_size_description	BookRestaurant
add david dallas to my latin dance cardio playlist	O B-artist I-artist O B-playlist_owner B-playlist I-playlist I-playlist O	AddToPlaylist
i need a list of mann theatres films that are playing	O O O O O B-location_name I-location_name B-movie_type O O O	SearchScreeningEvent
please rate the current textbook with 5 stars out o 6	O O O B-object_select B-object_type O B-rating_value B-rating_unit O O B-best_rating	RateBook
book the middle east restaurant in in for noon	O B-restaurant_name I-restaurant_name I-restaurant_name B-restaurant_type O B-state O B-timeRange	BookRestaurant
i want to rate the turbulent term of tyke tiler a 3	O O O O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name O B-rating_value	RateBook
rate this textbook 4 out of 6 stars	O B-object_select B-object_type B-rating_value O O B-best_rating B-rating_unit	RateBook
what films are playing at the nearest movie house	O B-movie_type O O O O B-spatial_relation B-object_location_type I-object_location_type	SearchScreeningEvent
play martha my dear by shannon	O B-track I-track I-track O B-artist	PlayMusic
show the movie schedule	O O B-object_type I-object_type	SearchScreeningEvent
book a bar that serves ribs for 5 people	O O B-restaurant_type O O B-served_dish O B-party_size_number O	BookRestaurant
play a music ballad from the sixties	O O O B-music_item O O B-year	PlayMusic
i d like to watch abbott and costello meet captain kidd at the nearest cinema	O O O O O B-movie_name I-movie_name I-movie_name I-movie_name I-movie_name I-movie_name O O B-spatial_relation B-object_location_type	SearchScreeningEvent
tell me when it ll be cloudy in woodport	O O O O O O B-condition_description O B-city	GetWeather
i want to go to antigua and barbuda and eat at a table for 4	O O O O O B-country I-country I-country O O O O O O B-party_size_number	BookRestaurant
i want to hear that tune from 2010	O O O O O B-music_item O B-year	PlayMusic
add little pattie track in nu metal	O B-artist I-artist B-music_item O B-playlist I-playlist	AddToPlaylist
add tune to soft rock playlist	O B-music_item O B-playlist I-playlist O	AddToPlaylist
add the artist jamie t to hallie s winter music playlist	O O B-music_item B-artist I-artist O B-playlist_owner I-playlist_owner B-playlist I-playlist O	AddToPlaylist
show animated movie at century theatres	O B-movie_type I-movie_type O B-location_name I-location_name	SearchScreeningEvent
can you use pandora to play a soundtrack from 1999 by david sitek	O O O B-service O O O B-music_item O B-year O B-artist I-artist	PlayMusic
book a spot for wilma  gay and i at the gowanus yacht club in montenegro	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-country	BookRestaurant
give me a list of films that play in the neighbourhood	O O O O O B-movie_type O O B-spatial_relation I-spatial_relation I-spatial_relation	SearchScreeningEvent
play chance of a lifetime on zvooq	O B-track I-track I-track I-track O B-service	PlayMusic
play the busco un pueblo album	O O B-album I-album I-album B-music_item	PlayMusic
play anything jd natasha did in the thirties	O O B-artist I-artist O O O B-year	PlayMusic
what will the weather be in bayside on sep  21  2034	O O O O O O B-city O B-timeRange I-timeRange I-timeRange	GetWeather
what will the weather be 1 minute from now in garrochales	O O O O O B-timeRange I-timeRange I-timeRange I-timeRange O B-city	GetWeather
add a track to my alok house party playlist	O O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist O	AddToPlaylist
play them the greatest music by chris frantz	O B-music_item O B-sort O O B-artist I-artist	PlayMusic
will there be rainfall the day after tomorrow far from rodna national park	O O O B-condition_description B-timeRange I-timeRange I-timeRange I-timeRange B-spatial_relation O B-geographic_poi I-geographic_poi I-geographic_poi	GetWeather
i need a table for five in viroqua	O O O O O B-party_size_number O B-city	BookRestaurant
will it be windy in tequesta	O O O B-condition_description O B-city	GetWeather
is it cloudy in the same area of lynn shore reservation	O O B-condition_description B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-geographic_poi I-geographic_poi I-geographic_poi	GetWeather
where is the toxic avenger ii playing	O O B-movie_name I-movie_name I-movie_name I-movie_name O	SearchScreeningEvent
my té para tres needs brave and crazy added on	B-playlist_owner B-playlist I-playlist I-playlist O B-entity_name I-entity_name I-entity_name O O	AddToPlaylist
show me the movie times for animated movies in the area	O O O B-object_type I-object_type O B-movie_type I-movie_type B-spatial_relation I-spatial_relation I-spatial_relation	SearchScreeningEvent
i am giving this current novel 1 out of 6 stars	O O O O B-object_select B-object_type B-rating_value O O B-best_rating B-rating_unit	RateBook
show me movie times  at harkins theatres	O O B-object_type I-object_type O B-location_name I-location_name	SearchScreeningEvent
add nitti to my family favorites playlist	O B-artist O B-playlist_owner B-playlist I-playlist O	AddToPlaylist
i need a table for six near the russia bistro that has wifi	O O O O O B-party_size_number B-spatial_relation O B-country B-restaurant_type O O B-facility	BookRestaurant
add this tune by hal patino to my ambiente rnb playlist	O O B-music_item O B-artist I-artist O B-playlist_owner B-playlist I-playlist O	AddToPlaylist
i want to book a cafeteria in el reno that serves javanese	O O O O O B-restaurant_type O B-city I-city O O B-cuisine	BookRestaurant
play some matthew sweet music from around 1996 on spotify	O O B-artist I-artist O O O B-year O B-service	PlayMusic
rate the current essay a 0 for me	O O B-object_select B-object_type O B-rating_value O O	RateBook
i want to hear a 1976 symphony by jam master jay	O O O O O B-year B-music_item O B-artist I-artist I-artist	PlayMusic
play the greatest adrian kowanek music	O O B-sort B-artist I-artist O	PlayMusic
in google music play the top singles released in 1972	O B-service I-service O O B-sort O O O B-year	PlayMusic
i want to book a jewish restaurant in gambia	O O O O O B-cuisine B-restaurant_type O B-country	BookRestaurant
book me a restaurant reservation in fiji for zero am	O O O B-restaurant_type O O B-country O B-timeRange I-timeRange	BookRestaurant
add gary valenciano to the power gaming playlist	O B-artist I-artist O O B-playlist I-playlist O	AddToPlaylist
can i get the showtimes for animated movie in the neighbourhood	O O O O O O B-movie_type I-movie_type B-spatial_relation I-spatial_relation I-spatial_relation	SearchScreeningEvent
i need to find a restaurant in pw	O O O O O B-restaurant_type O B-state	BookRestaurant
please book a bar type goiano room accommodate for 2 members 1 second from now in pr	O O O B-restaurant_type O B-cuisine O O O B-party_size_number O B-timeRange I-timeRange I-timeRange I-timeRange O B-state	BookRestaurant
add a track by bt to my independent music monday playlist	O O B-music_item O B-artist O B-playlist_owner B-playlist I-playlist I-playlist O	AddToPlaylist
tell me the weather forecast for 10/21/2024 in metamora	O O O O O O B-timeRange O B-city	GetWeather
book reservations at a restaurant for eight people in new jersey	O O O O B-restaurant_type O B-party_size_number O O B-state I-state	BookRestaurant
how will snowfall be here in 2/21/2022	O O B-condition_description O B-current_location O B-timeRange	GetWeather
what films are going to be playing at harkins theatres at zero a m	O B-movie_type O O O O O O B-location_name I-location_name O B-timeRange I-timeRange I-timeRange	SearchScreeningEvent
rate the following novel one of 6	O O B-object_select B-object_type B-rating_value O B-best_rating	RateBook
