i want to book a bistro that serves pasta salad in brazil	O O O O O B-restaurant_type O O B-served_dish I-served_dish O B-country	BookRestaurant
put journey to love onto hip hop 2017 new school	O B-entity_name I-entity_name I-entity_name O B-playlist I-playlist I-playlist I-playlist I-playlist	AddToPlaylist
find me the tv show the first bite	O O O B-object_type I-object_type B-object_name I-object_name I-object_name	SearchCreativeWork
i gave joseph andrews a 0 out of 6	O O B-object_name I-object_name O B-rating_value O O B-best_rating	RateBook
tell me the movie schedules	O O O B-object_type I-object_type	SearchScreeningEvent
give 1 stars to book mr ponsonby	O B-rating_value B-rating_unit O B-object_type B-object_name I-object_name	RateBook
play the galway races on netflix	O B-track I-track I-track O B-service	PlayMusic
look for the tv series jersey boys	O O O B-object_type I-object_type B-object_name I-object_name	SearchCreativeWork
add tune to this is trey songz	O B-music_item O B-playlist I-playlist I-playlist I-playlist	AddToPlaylist
add my hands to travelling playlist	O B-entity_name I-entity_name O B-playlist O	AddToPlaylist
play 2gether by jade puget	O B-album O B-artist I-artist	PlayMusic
please look up the tv show  vanity	O O O O B-object_type I-object_type B-object_name	SearchCreativeWork
i rate the saga wahhabi islam: from revival and reform to global jihad three out of 6	O O O B-object_part_of_series_type B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name B-rating_value O O B-best_rating	RateBook
add this album to my playlist named café  libros	O O B-music_item O B-playlist_owner O O B-playlist I-playlist	AddToPlaylist
find a soundtrack called pax warrior	O O B-object_type O B-object_name I-object_name	SearchCreativeWork
find returned to your mind	O B-object_name I-object_name I-object_name I-object_name	SearchCreativeWork
play party through the decades on deezer	O B-playlist I-playlist I-playlist I-playlist O B-service	PlayMusic
i would like to put taylor dayne on the pop 4 kids list	O O O O O B-artist I-artist O O B-playlist I-playlist I-playlist O	AddToPlaylist
find a television show called basement screams	O O B-object_type I-object_type O B-object_name I-object_name	SearchCreativeWork
four out of 6 stars for special assignments	B-rating_value O O B-best_rating B-rating_unit O B-object_name I-object_name	RateBook
play paul landers  o rio  a cidade  a árvore on slacker	O B-artist I-artist B-album I-album I-album I-album I-album I-album O B-service	PlayMusic
play a track from 2004	O O B-music_item O B-year	PlayMusic
add this tune by nokio the n tity to my this is bb king playlist	O O B-music_item O B-artist I-artist I-artist I-artist O B-playlist_owner B-playlist I-playlist I-playlist I-playlist O	AddToPlaylist
play some katiejane garside on vimeo	O O B-artist I-artist O B-service	PlayMusic
i want a table for 3 at a restaurant	O O O O O B-party_size_number O O B-restaurant_type	BookRestaurant
find a tv show called the soultaker	O O B-object_type I-object_type O B-object_name I-object_name	SearchCreativeWork
add dean martin track to metal xplorer playlist	O B-artist I-artist B-music_item O B-playlist I-playlist O	AddToPlaylist
for the star theatres is the belles of st  clements playing in 8 minutes	O O B-location_name I-location_name O B-movie_name I-movie_name I-movie_name I-movie_name I-movie_name O B-timeRange I-timeRange I-timeRange	SearchScreeningEvent
what is the movie schedule for movies in the neighbourhood	O O O B-object_type I-object_type O B-movie_type B-spatial_relation I-spatial_relation I-spatial_relation	SearchScreeningEvent
add a track to the el mejor pop en español playlist	O O B-music_item O O B-playlist I-playlist I-playlist I-playlist I-playlist O	AddToPlaylist
i d like to have southeastern brazilian at the pub in dominica	O O O O O B-cuisine I-cuisine O O B-restaurant_type O B-country	BookRestaurant
