show the movie schedule	O O B-object_type I-object_type	SearchScreeningEvent
add heresy and the hotel choir to the evening acoustic playlist	O B-entity_name I-entity_name I-entity_name I-entity_name I-entity_name O O B-playlist I-playlist O	AddToPlaylist
show the information: a history picture	O B-object_name I-object_name I-object_name I-object_name B-object_type	SearchCreativeWork
when is the sea of grass playing at the movie theatre	O O B-movie_name I-movie_name I-movie_name I-movie_name O O O B-object_location_type I-object_location_type	SearchScreeningEvent
i gave joseph andrews a 0 out of 6	O O B-object_name I-object_name O B-rating_value O O B-best_rating	RateBook
show me it might as well rain until september	O O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name	SearchCreativeWork
play a 1999 track by pete seeger on youtube	O O B-year B-music_item O B-artist I-artist O B-service	PlayMusic
play music by sarah connor	O O O B-artist I-artist	PlayMusic
what is the movie schedule for movies close by	O O O B-object_type I-object_type O B-movie_type B-spatial_relation I-spatial_relation	SearchScreeningEvent
play music from 1989 by maya	O O O B-year O B-artist	PlayMusic
i need a forecast for jetmore  massachusetts in 1 hour and 1 second from now	O O O O O B-city B-state O B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange	GetWeather
please play playlist todo reggaeton	O O O B-playlist I-playlist	PlayMusic
play me the greatest chant by laurel aitken on lastfm	O O O B-sort B-music_item O B-artist I-artist O B-service	PlayMusic
book the best close-by bar in union city	O O B-sort B-spatial_relation B-restaurant_type O B-poi I-poi	BookRestaurant
book a masala bar on march 6  2034	O O B-served_dish B-restaurant_type O B-timeRange I-timeRange I-timeRange	BookRestaurant
where is puthri playing	O O B-movie_name O	SearchScreeningEvent
where is the nearest movie theatre that is playing the king maker	O O O B-spatial_relation B-object_location_type I-object_location_type O O O B-movie_name I-movie_name I-movie_name	SearchScreeningEvent
what is the weather like in cameroon	O O O O O O B-country	GetWeather
play midnight special	O B-track I-track	PlayMusic
play furusato on google music	O B-track O B-service I-service	PlayMusic
